model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_s,x_conv_km,h_km,vp_vs_ratio
123.270000,84.860000,38.410000,0.919947,0.950872,85.926357,1.370716,2.916356
123.421000,84.860000,38.561000,0.921747,0.945269,85.911442,1.369280,2.916380
123.582000,84.860000,38.722000,0.924340,0.937893,85.894088,1.365502,2.916444
123.733000,84.860000,38.873000,0.925410,0.930036,85.875364,1.361550,2.916510
123.894000,84.860000,39.034000,0.925925,0.945695,85.880505,1.392489,2.917245
124.045000,84.860000,39.185000,0.929469,0.944206,85.867754,1.398421,2.917222
124.206000,84.860000,39.346000,0.931689,0.942741,85.853810,1.405118,2.917197
124.367000,84.860000,39.507000,0.934761,0.949277,85.848304,1.423626,2.917125
124.521000,84.860000,39.661000,0.937184,0.948477,85.835837,1.430462,2.917099
124.685000,84.860000,39.825000,0.940313,0.947791,85.822749,1.437826,2.917071
124.836000,84.860000,39.976000,0.942810,0.947338,85.811725,1.444182,2.917046
124.997000,84.860000,40.137000,0.945797,0.946985,85.800202,1.450972,2.917020
125.161000,84.860000,40.301000,0.947920,0.946776,85.790105,1.457037,2.916996
125.312000,84.860000,40.452000,0.950821,0.946669,85.781674,1.462175,2.916977
125.473000,84.860000,40.613000,0.954147,0.946623,85.774052,1.466871,2.916959
125.635000,84.860000,40.775000,0.956789,0.946617,85.768683,1.470203,2.916946
125.785000,84.860000,40.925000,0.957700,0.946628,85.764022,1.473110,2.916935
125.947000,84.860000,41.087000,0.960526,0.946636,85.762213,1.474241,2.916930
126.097000,84.860000,41.237000,0.961553,0.946646,85.760539,1.475288,2.916926
126.248000,84.860000,41.388000,0.963196,0.946645,85.760630,1.475232,2.916926
126.409000,84.860000,41.549000,0.963579,0.946641,85.761238,1.474851,2.916928
126.560000,84.860000,41.700000,0.963494,0.946634,85.762599,1.473999,2.916931
126.721000,84.860000,41.861000,0.963329,0.946624,85.764949,1.472531,2.916937
126.872000,84.860000,42.012000,0.962334,0.946618,85.767265,1.471087,2.916942
127.030000,84.860000,42.170000,0.961832,0.946616,85.770198,1.469261,2.916949
127.181000,84.860000,42.321000,0.960301,0.946620,85.773006,1.467519,2.916956
127.342000,84.860000,42.482000,0.959475,0.946627,85.775329,1.466081,2.916962
127.493000,84.860000,42.633000,0.957509,0.946638,85.777417,1.464793,2.916967
127.654000,84.860000,42.794000,0.955382,0.946647,85.778934,1.463858,2.916970
127.804000,84.860000,42.944000,0.953199,0.946654,85.779882,1.463275,2.916972
127.969000,84.860000,43.109000,0.951694,0.946662,85.780887,1.462658,2.916975
128.119000,84.860000,43.259000,0.950002,0.946670,85.781726,1.462143,2.916977
128.281000,84.860000,43.421000,0.948806,0.946679,85.782644,1.461581,2.916979
128.445000,84.860000,43.585000,0.947629,0.946691,85.783846,1.460845,2.916982
128.770000,84.860000,43.910000,0.946047,0.946716,85.785952,1.459560,2.916987
128.921000,84.860000,44.061000,0.945707,0.946727,85.786755,1.459071,2.916989
129.085000,84.860000,44.225000,0.946511,0.946726,85.786746,1.459076,2.916989
129.250000,84.860000,44.390000,0.947252,0.946718,85.786099,1.459471,2.916987
129.411000,84.860000,44.551000,0.948209,0.946700,85.784627,1.460369,2.916984
129.575000,84.860000,44.715000,0.950618,0.946671,85.781824,1.462083,2.916977
129.736000,84.860000,44.876000,0.952128,0.946645,85.778577,1.464078,2.916969
